Name,Url,Authority,Started On,Finished On,License Number
La gestión de los riesgos y la administración de los cambios en el proyecto,https://www.coursera.org/account/accomplishments/verify/KNHMENGWFSGS,Coursera Course Certificates,,,KNHMENGWFSGS
Programación y presupuesto del proyecto,https://www.coursera.org/account/accomplishments/verify/WMN6LR6UWJUN,Coursera Course Certificates,,,WMN6LR6UWJUN
Iniciación y Planificación de Proyectos,https://www.coursera.org/account/accomplishments/verify/PPHFLSX6V282,Coursera Course Certificates,,,PPHFLSX6V282
Certified SAFe® 5 Agilist,https://www.youracclaim.com/badges/32c9cd3b-f955-45ac-9dbe-ceba03275af5/linked_in_profile,"Scaled Agile, Inc.",May 2020,May 2021,15821543-7930
Adobe Professional – Adobe Campaign Standard Business Practitioner,https://www.credly.com/badges/d48e45b2-46e6-4a8d-9f0f-db5161263868?source=linked_in_profile,Adobe,Jun 2021,,
Adobe Certified Expert - Adobe Experience Manager Sites Business Practitioner,https://www.credly.com/badges/0f9d94de-7ff6-4758-b0f6-343bfe9984a0/linked_in_profile,Adobe,Jan 2023,Jan 2025,
"Identificación, Rediseño e Innovación de Procesos",https://www.credential.net/72665a5e-810f-45d7-836d-62c26c9d2a04,Tecnológico de Monterrey,Jul 2024,,108545989
Contentful Certified Content Manager,https://www.credly.com/badges/dcaea151-22b6-4465-bb9b-fc66bdc3a2c5/linked_in_profile,Contentful,Jun 2025,Jun 2027,
Composable Agents 101: A Leader's Guide to Agentic Transformation,https://academy.composable.com/certificate/M0s-w4XBPg,Composable.com,Jul 2025,,M0s-w4XBPg
Introduction to Six Sigma,https://bit.ly/47rTFH0,Simplilearn,Sep 2025,,
Design Thinking for Beginners,https://simpli-web.app.link/e/xafHY21bqWb,Simplilearn,Sep 2025,,
